시간,카테고리,키워드,월간검색량,블로그,포화도,난이도
00:23,건강/의료,폐암초기증상,43120,122296,2.84,🔴
00:23,건강/의료,크론병,42380,122374,2.89,🔴
00:23,건강/의료,대상포진증상,81490,262895,3.23,🔴
00:23,건강/의료,위암초기증상,36250,118569,3.27,🔴
00:23,건강/의료,대상포진,132600,441387,3.33,🔴
00:23,건강/의료,단백뇨,36320,123529,3.4,🔴
00:23,건강/의료,건강관리협회,42340,162417,3.84,🔴
00:23,건강/의료,국가건강검진,69300,272141,3.93,🔴
00:23,건강/의료,갑상선기능저하증,61530,246023,4.0,🔴
00:23,건강/의료,내과,452000,1904370,4.21,🔴
00:23,건강/의료,아세트아미노펜,37110,156795,4.23,🔴
00:23,건강/의료,자궁경부암검사,53310,235536,4.42,🔴
00:23,건강/의료,갑상선기능항진증,37630,169067,4.49,🔴
00:23,건강/의료,부정맥증상,42470,197445,4.65,🔴
00:23,건강/의료,염화칼슘,40000,191257,4.78,🔴
00:23,건강/의료,족저근막염,68050,328697,4.83,🔴
00:23,건강/의료,정형외과,415000,2015926,4.86,🔴
00:23,건강/의료,당뇨초기증상,67990,378335,5.56,🔴
00:23,건강/의료,파킨슨병,52690,328407,6.23,🔴
00:23,건강/의료,정신건강의학과,42730,273013,6.39,🔴
00:23,건강/의료,가정의학과,50500,325419,6.44,🔴
00:23,건강/의료,부정맥,45320,324065,7.15,🔴
00:23,건강/의료,뇌경색,52330,374932,7.16,🔴
00:23,건강/의료,과민성대장증후군,39530,285724,7.23,🔴
00:23,건강/의료,종합비타민,44640,334513,7.49,🔴
00:23,건강/의료,역류성식도염,59610,447991,7.52,🔴
00:23,건강/의료,소아과,140910,1062275,7.54,🔴
00:23,건강/의료,단백질쉐이크,81000,619734,7.65,🔴
00:23,건강/의료,통풍증상,48990,435565,8.89,🔴
00:23,건강/의료,폐렴증상,54280,486276,8.96,🔴
00:23,건강/의료,산부인과,213720,1946401,9.11,🔴
00:23,건강/의료,건강검진예약,48100,448177,9.32,🔴
00:23,건강/의료,고지혈증,82400,830814,10.08,🔴
00:23,건강/의료,신장에좋은음식,43720,496773,11.36,🔴
00:23,건강/의료,위염증상,36410,426365,11.71,🔴
00:23,건강/의료,설날,204200,2600796,12.74,🔴
00:23,건강/의료,도수치료,79400,1114973,14.04,🔴
00:23,건강/의료,통증의학과,51430,780695,15.18,🔴
00:23,건강/의료,발바닥통증,42170,714333,16.94,🔴
00:23,건강/의료,비타민D,119200,2169936,18.2,🔴
00:23,건강/의료,신경외과,65570,1297466,19.79,🔴
00:23,건강/의료,건강검진,155500,3243037,20.86,🔴
00:23,건강/의료,베개,137600,2901863,21.09,🔴
00:23,건강/의료,독감,87600,1879268,21.45,🔴
00:23,건강/의료,콜레스테롤수치,57390,1552167,27.05,🔴
00:23,건강/의료,뇌졸중,48360,1345588,27.82,🔴
00:23,건강/의료,다이어트식단,45170,1695488,37.54,🔴
00:23,건강/의료,비타민B,49510,1868223,37.73,🔴
00:23,건강/의료,한의원,152800,6093490,39.88,🔴
00:23,건강/의료,건강보험,114800,4645159,40.46,🔴
00:23,건강/의료,정신과,41730,2020996,48.43,🔴
00:23,건강/의료,스포츠,216500,14493780,66.95,🔴
00:23,건강/의료,통풍,38760,3354940,86.56,🔴
00:23,건강/의료,어깨통증,39540,4000810,101.18,🔴
00:23,건강/의료,병원,187800,35039425,186.58,🔴
00:23,건강/의료,한식,39990,7484794,187.17,🔴
00:23,건강/의료,헬스,37370,7470277,199.9,🔴
00:23,건강/의료,비타민,55500,15786276,284.44,🔴
00:23,건강/의료,영어,39860,24458349,613.61,🔴
00:26,IT/모바일,겔럭시S25,28340,601,0.02,🟢
00:26,IT/모바일,챗지피티,7872000,240626,0.03,🟢
00:26,IT/모바일,갤럭시S26,310800,11614,0.04,🟢
00:26,IT/모바일,챗GPT,4546400,605216,0.13,🟢
00:26,IT/모바일,S26,67600,14754,0.22,🟢
00:26,IT/모바일,삼성몰,20200,4642,0.23,🟢
00:26,IT/모바일,CHATGPT,1876800,502492,0.27,🟢
00:26,IT/모바일,삼세페,24470,6820,0.28,🟢
00:26,IT/모바일,아이폰16E,36330,11617,0.32,🟢
00:26,IT/모바일,구글,19087100,7569467,0.4,🟢
00:26,IT/모바일,갤럭시S25,386200,165000,0.43,🟢
00:26,IT/모바일,갤럭시S25울트라,131300,67288,0.51,🟡
00:26,IT/모바일,VMS,79900,42202,0.53,🟡
00:26,IT/모바일,삼성전자,7425800,4097704,0.55,🟡
00:26,IT/모바일,연말시상식,270500,149159,0.55,🟡
00:26,IT/모바일,갤럭시워치8,159500,102335,0.64,🟡
00:26,IT/모바일,갤럭시S25울트라케이스,24870,17272,0.69,🟡
00:26,IT/모바일,아이폰17,528700,397789,0.75,🟡
00:26,IT/모바일,갤럭시S25플러스,43050,38732,0.9,🟡
